session_id,messages,category,meaningful,edits,test_edits,test_runs,first_runs,reprompts
0356f0df-781d-45de-9a86-18152c58bede,40,test_only,True,1,1,0,0,12
123af987-2be2-4467-a97c-609fa26818ae,198,new,True,18,0,0,0,68
160c9dee-7776-4f0c-b92f-5b9b058634ca,206,new,True,5,3,0,0,62
23ab4469-2868-470b-a4fb-f2262504ede9,74,new,True,15,3,0,0,22
23b36d4d-61e7-4f94-99d2-b394baf6e52b,0,exploratory,False,0,0,0,0,0
30424b81-31e2-480a-8c5d-4fc2dbdc91b2,484,new,True,49,12,4,3,146
34fb6db9-377c-4ecd-b7f9-c5959a92c0ac,1,exploratory,False,0,0,0,0,0
4cf4ca0b-7f58-4ebd-8f04-4857f5c5b41a,380,new,True,15,1,0,0,139
5530606c-4bb8-48c3-b51d-c5a5fc0f081c,211,refactor,True,11,0,0,0,63
56c094dd-d005-4f6f-bce4-2f76cbe5ac73,154,new,True,14,3,0,0,49
62221416-e831-4d35-92d9-048ed520adcc,1,exploratory,False,0,0,0,0,0
7ba0b6eb-9062-4e0e-a4c3-7fea6f514dbc,196,new,True,9,0,0,0,63
85a8dec9-346a-4a0b-98b3-e42636eec350,89,new,True,1,0,0,0,26
9ebc9fd0-df53-4e59-af01-40587007a2d1,112,new,True,8,1,0,0,32
a6945719-bb27-40ca-aa8c-058b8f94dc2b,2,exploratory,False,0,0,0,0,0
b51f915e-e936-4d5e-94b2-7675f7d96c5c,295,new,True,4,0,0,0,93
c4c3d08b-f8ab-4a21-a4f8-ff7af057d7ae,217,new,True,20,0,0,0,69
c8884795-33bf-42ac-a046-9c8a6af288b2,92,new,True,6,0,0,0,35
cc2b0ac6-2a58-440d-bf1a-a438bbbf648c,208,exploratory,False,0,0,0,0,60
da975168-48cf-4ffe-a14e-ec5058f571ef,2,exploratory,False,0,0,0,0,0
efcac65f-ba37-4c26-8c65-9a4f3ab017c8,86,exploratory,False,0,0,0,0,22
fe79fae1-8ab8-473d-8c10-1cf8d8afc923,157,new,True,24,5,0,0,46
